"Timestamp","¿Cómo la escribirías? n1.e2.f1","¿Cómo la escribirías? n1.e2.f2","¿Cómo la escribirías? n1.e2.f3"
"2015/11/30 12:55:35 PM GMT-3","1 sobre (3 más 7)","un tercio más 7","(un tercio más 7) elevado a la 4"
"2015/11/30 1:56:24 PM GMT-3","uno dividido (tres mas siete)","un tercio mas siete","(un tercio mas siete) elevado a la cuarta"
"2015/12/01 5:17:35 PM GMT-3","1 sobre 3 mas 7","un tercio mas 7","(un tercio mas 7) elevado a la cuarta"
"2015/12/02 9:57:21 AM GMT-3","Uno sobre (tres mas siete)","(Uno sobre tres) mas siete","((uno sobre tres) mas siete) elevado a cuatro"
"2015/12/04 4:32:27 PM GMT-3","uno, divido tres mas siete.","un tercio, mas siete.","paréntesis, un tercio mas siete, paréntesis, todo elevado a la cuarta potencia."
"2016/02/29 9:29:56 AM GMT-3","uno sobre tres mas siete","un tercio mas siete","(un tercio mas siete) elevado a la cuarta"
"2016/02/29 9:34:05 AM GMT-3","1 sobre (3 más 7)","un tercio más siete","(un tercio más 7) elevado a la 4"
"2016/02/29 11:23:12 AM GMT-3","Tres más siete como divisor de uno.

Uno dividido tres más siete.

Tres más siete, todo elevado a (la potencia) menos uno.

","Un tercio más siete.","Un tercio más siete, todo elevado a la cuarta."
"2016/02/29 12:00:44 PM GMT-3","uno sobre ( tres mas siete )","uno sobre tres y todo mas 7","uno sobre tres, a esto le sumo 7 y todo elevado a la cuarta"
"2016/02/29 12:06:15 PM GMT-3","1 sobre (3 mas 7)","1 tercio mas 7","(1 tercio mas 7) a la cuarta"
"2016/02/29 12:49:21 PM GMT-3","uno sobre la suma de 3 más 7","un tercio más 7","el resultado de la suma de un tercio más 7 elevado a la cuarta potencia"
"2016/02/29 9:38:54 PM GMT-3","1 sobre (3 más 7)","(1 sobre 3) más 7","((1 sobre 3) más 7) elevado a la 4"
"2016/03/01 7:39:07 AM GMT-3","1 dividido (3 más 7)","Un tercio más 7",""
"2016/03/02 2:23:28 AM GMT-3","1 sobre (3 más 7)
","(1 sobre 3) más 7","((1 sobre 3) más 7) a la cuarta
"
"2016/03/02 5:26:59 AM GMT-3","uno sobre (tres más siete)","un tercio más siete","un tercio más siete, a la cuarta"
"2016/03/05 6:06:06 PM GMT-3","Uno dividido por 3 mas siete","Un tercio mas siete.","Un tercio mas siete, todo eso elevado a cuatro."
"2016/03/07 10:36:07 PM GMT-3","(uno sobre), (tres mas siete)","(un tercio) mas siete","(un tercio mas siete), elevado a la cuarta"
"2016/03/08 10:31:28 AM GMT-3","1 dividido (3 mas 7)","(1 sobre 3) mas 7","((1 sobre 3) mas 7) todo elevado a la cuarta"
"2016/04/03 12:31:29 PM GMT-3","fracción, numerador igual a uno, denominador igual a tres más siete","un tercio más siete","un tercio más siete, elevado a la cuarta"
"2016/04/03 12:41:30 PM GMT-3","1 sobre (3 más 7)","Un tercio más 7","(Un tercio más 7) a la cuarta potencia"
"2016/04/03 12:50:29 PM GMT-3","uno sobre tres mas siete","un tercio mas siete ","( un tercio mas siete) elevado a  cuatro"
"2016/04/03 1:06:13 PM GMT-3","uno sobre (tres más siete)","un tercio más siete","(un tercio más siete) elevado a la cuarta."
"2016/04/03 1:45:43 PM GMT-3","1 sobre (3 mas 7)","un tercio sumado a 7","(un tercio sumado a 7 (elevado a la cuarta))"
"2016/04/03 1:48:39 PM GMT-3","(1 dividido 3) mas 7","(Un tercio) mas 7","((Un tercio) mas 7) elevado a la cuarta"
"2016/04/03 1:56:30 PM GMT-3","1 dividido 3 más 7","(1 dividido 3) más 7","(((1 dividido 3) más 7) elevado a la cuarta)"
"2016/04/03 2:18:58 PM GMT-3","uno sobre el termino  tres mas siete","un tercio mas 7","el termino un tercio mas siete finalmente elevado a cuatro"
"2016/04/03 2:22:19 PM GMT-3","1 sobre 3 mas 7","un tercio mas 7","un tercio mas 7 a la 4"
"2016/04/03 2:32:37 PM GMT-3","1 sobre 3 más 7","Un tercio más 7","( un tercio más 7 ) elevado a la cuarta"
"2016/04/03 2:43:52 PM GMT-3","1 dividido (3 más 7)","Un tercio más 7","(Un tercio más siete) elevado a la 4"
"2016/04/03 2:58:10 PM GMT-3","uno sobre (tres mas siete)","un tercio mas siete","la potencia de (un tercio mas siete) a la cuarta"
"2016/04/03 3:09:25 PM GMT-3","1 sobre (3 màs 7)","un tercio mas 7","(uno sobre 3) màs 7) mas 4"
"2016/04/03 4:11:28 PM GMT-3","1 dividido por (3 más 7)","1 dividido 3 más 7","(1 dividido 3 más 7) elevado a la cuarta"
"2016/04/03 5:36:06 PM GMT-3","1 sobre (3 mas 7)","(1 sobre 3) todo mas 7","((1 sobre 3) todo mas 7) todo a la cuarta potencia"
"2016/04/03 7:35:50 PM GMT-3","""1 sobre (3 más 7)""","""(un tercio) más 7""","""(un tercio mas 7) elevado a la cuarta"""
"2016/04/03 7:55:18 PM GMT-3","(1 sobre ( 3 mas 7))","un tercio mas 7","(un tercio mas 7) elevado a la cuarta"
"2016/04/03 8:31:00 PM GMT-3","1 sobre (3 más 7)","un tercio más 7","(un tercio más 7) a la cuarta"
"2016/04/03 10:15:00 PM GMT-3","Uno divido tres más 7","Un tercio más 7","Un tercio más 7 elevado a la cuarta."
"2016/04/03 10:15:44 PM GMT-3","Uno sobre tres más siete.","Un tercio más 7","Un tercio más siete elevado a la cuarta"
"2016/04/03 11:11:07 PM GMT-3","1 sobre (3 más 7)","Un tercio más 7","(Un tercio más 7) a la 4"
"2016/04/05 12:45:40 AM GMT-3","1 sobre (3 más 7)","1 sobre 3 mas siete","(1 sobre 3 mas 7) elevado a la 4"
"2016/04/05 3:19:52 PM GMT-3","1 dividido (3 más 7)","(1 dividido 3) más siete","((1 dividido 3) más siete) elevado a la 4"
"2016/04/10 4:50:10 PM GMT-3","1 dividido (3 mas 7)","un tercio mas siete","(un tercio mas siete) elevado a cuatro"
