"Timestamp","(((3 por X) menos 2) es igual a 0)","((seno de X) mas (logaritmo natural de Y) mas (cotangente de Z))","(X elevado a la (A por B))","(((2 por (F aplicado a X)) menos (e elevado a la X)) dividido (seno de (X por (Y elevado a la 2) por (X menos 2))))","(la sumatoria de X que va desde A hasta B de (F de X))","(raiz 6 de 5)","(A no esta en conjunto vacio)"," (A intersectción B)","(((P negado) negado) es igual a P)","(el limite de X que tiende 0 de (seno de X))","((1 es menor o igual a X) y (X es menor a Y))","(A divide a B)","(maximo comun divisor entre X y Y)","((logaritmo base 10 de 100) es igual a 2)","((raiz cuadrada de (raiz cuadrada de X)) es igual a (raiz 4 de X))","(raiz cuadrada de 5)","(la sumatoria de I que va desde 0 hasta 100 de (X elevado a la I))","(conjunto de los enteros no es igual a conjunto vacio)","(el conjunto de todos X que cumplan que X sea (X es menor a 5))"
"2016/05/29 10:00:21 PM GMT-3","2","3 - Completamente adecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","1 - Tendencia a adecuado","1 - Tendencia a adecuado","1 - Tendencia a adecuado","0","1 - Tendencia a adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","-3 - Completamente inadecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","-1 - Tendencia a inadecuado"
"2016/05/29 10:02:37 PM GMT-3","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","-3 - Completamente inadecuado"
"2016/05/29 10:06:37 PM GMT-3","3 - Completamente adecuado","2","3 - Completamente adecuado","2","3 - Completamente adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado"
"2016/05/30 12:37:16 AM GMT-3","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado"
"2016/05/30 9:30:20 AM GMT-3","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","2","2","1 - Tendencia a adecuado","3 - Completamente adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","2","3 - Completamente adecuado","-1 - Tendencia a inadecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","2"
"2016/05/30 10:04:15 AM GMT-3","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","-2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado"
"2016/05/30 10:06:01 AM GMT-3","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","2","2","3 - Completamente adecuado","2","3 - Completamente adecuado","2","2","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado","2","2"
"2016/05/30 10:06:10 AM GMT-3","2","2","2","3 - Completamente adecuado","2","1 - Tendencia a adecuado","1 - Tendencia a adecuado","2","1 - Tendencia a adecuado","1 - Tendencia a adecuado","2","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","2","1 - Tendencia a adecuado"
"2016/05/30 10:09:30 AM GMT-3","3 - Completamente adecuado","3 - Completamente adecuado","2","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado"
"2016/05/30 10:10:17 AM GMT-3","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","2","2","1 - Tendencia a adecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado","2","2","3 - Completamente adecuado","2","2","3 - Completamente adecuado","2","2","1 - Tendencia a adecuado"
